date,sku_id,units_sold,revenue,unit_price,promo_flag,category,subcategory,launch_date,unit_cost,list_price,week,month,season,is_holiday,promo_event,on_hand_units,on_order_units,lead_time_days,reorder_point
2024-08-07,SKU0001,23,194866.12000000002,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,32,8,Summer,0,,,,,
2024-08-08,SKU0001,24,203338.56,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,32,8,Summer,0,,,,,
2024-08-09,SKU0001,9,76251.96,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,32,8,Summer,0,,,,,
2024-08-10,SKU0001,15,127086.6,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,32,8,Summer,0,,,,,
2024-08-11,SKU0001,15,127086.6,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,32,8,Summer,0,,,,,
2024-08-12,SKU0001,24,203338.56,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,33,8,Summer,0,,2122.0,1481.0,21.0,771.0
2024-08-13,SKU0001,17,144031.48,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,33,8,Summer,0,,2122.0,1481.0,21.0,771.0
2024-08-14,SKU0001,31,262645.64,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,33,8,Summer,0,,2122.0,1481.0,21.0,771.0
2024-08-15,SKU0001,36,305007.84,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,33,8,Summer,1,,2122.0,1481.0,21.0,771.0
2024-08-16,SKU0001,15,127086.6,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,33,8,Summer,0,,2122.0,1481.0,21.0,771.0
2024-08-17,SKU0001,17,144031.48,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,33,8,Summer,0,,2122.0,1481.0,21.0,771.0
2024-08-18,SKU0001,20,169448.80000000002,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,33,8,Summer,0,,2122.0,1481.0,21.0,771.0
2024-08-19,SKU0001,24,203338.56,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,34,8,Summer,0,,1983.0,0.0,21.0,771.0
2024-08-20,SKU0001,13,110141.72,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,34,8,Summer,0,,1983.0,0.0,21.0,771.0
2024-08-21,SKU0001,27,228755.88,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,34,8,Summer,0,,1983.0,0.0,21.0,771.0
2024-08-22,SKU0001,28,237228.32,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,34,8,Summer,0,,1983.0,0.0,21.0,771.0
2024-08-23,SKU0001,13,110141.72,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,34,8,Summer,0,,1983.0,0.0,21.0,771.0
2024-08-24,SKU0001,19,160976.36000000002,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,34,8,Summer,0,,1983.0,0.0,21.0,771.0
2024-08-25,SKU0001,20,169448.80000000002,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,34,8,Summer,0,,1983.0,0.0,21.0,771.0
2024-08-26,SKU0001,27,228755.88,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,35,8,Summer,0,,1855.0,0.0,21.0,771.0
2024-08-27,SKU0001,27,228755.88,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,35,8,Summer,0,,1855.0,0.0,21.0,771.0
2024-08-28,SKU0001,22,186393.68000000002,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,35,8,Summer,0,,1855.0,0.0,21.0,771.0
2024-08-29,SKU0001,13,110141.72,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,35,8,Summer,0,,1855.0,0.0,21.0,771.0
2024-08-30,SKU0001,24,203338.56,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,35,8,Summer,0,,1855.0,0.0,21.0,771.0
2024-08-31,SKU0001,16,135559.04,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,35,8,Summer,0,,1855.0,0.0,21.0,771.0
2024-09-01,SKU0001,28,237228.32,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,35,9,Autumn,0,,1855.0,0.0,21.0,771.0
2024-09-02,SKU0001,7,59307.08,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,36,9,Autumn,0,,1727.0,0.0,21.0,771.0
2024-09-03,SKU0001,21,177921.24000000002,8472.44,0,Small Appliances,Climate,2024-08-07,3476.81,8472.44,36,9,Autumn,0,,1727.0,0.0,21.0,771.0
