date,sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point
2024-08-12,SKU0001,2122.0,1481.0,21,771.0
2024-08-19,SKU0001,1983.0,0.0,21,771.0
2024-08-26,SKU0001,1855.0,0.0,21,771.0
2024-09-02,SKU0001,1727.0,0.0,21,771.0
2024-09-09,SKU0001,1604.0,0.0,21,771.0
2024-09-16,SKU0001,1495.0,0.0,21,771.0
2024-09-23,SKU0001,1379.0,0.0,21,771.0
2024-09-30,SKU0001,1252.0,0.0,21,771.0
2024-10-07,SKU0001,1144.0,0.0,21,771.0
2024-10-14,SKU0001,1037.0,0.0,21,771.0
2024-10-21,SKU0001,915.0,0.0,21,771.0
2024-10-28,SKU0001,770.0,1493.0,21,771.0
2024-11-04,SKU0001,625.0,1180.0,21,771.0
2024-11-11,SKU0001,455.0,0.0,21,771.0
2024-11-18,SKU0001,271.0,0.0,21,771.0
2024-11-25,SKU0001,125.0,1108.0,21,771.0
2024-12-02,SKU0001,0.0,0.0,21,771.0
2024-12-09,SKU0001,0.0,1137.0,21,771.0
2024-12-16,SKU0001,0.0,0.0,21,771.0
2024-12-23,SKU0001,0.0,951.0,21,771.0
2024-12-30,SKU0001,0.0,0.0,21,771.0
2025-01-06,SKU0001,0.0,0.0,21,771.0
2025-01-13,SKU0001,0.0,1017.0,21,771.0
2025-01-20,SKU0001,0.0,1413.0,21,771.0
2025-01-27,SKU0001,0.0,1127.0,21,771.0
2025-02-03,SKU0001,1272.0,1272.0,21,771.0
2025-02-10,SKU0001,1015.0,0.0,21,771.0
2025-02-17,SKU0001,1831.0,1078.0,21,771.0
2025-02-24,SKU0001,1590.0,0.0,21,771.0
2025-03-03,SKU0001,1344.0,0.0,21,771.0
2025-03-10,SKU0001,1045.0,0.0,21,771.0
2025-03-17,SKU0001,2044.0,1292.0,21,771.0
2025-03-24,SKU0001,1764.0,0.0,21,771.0
2025-03-31,SKU0001,1490.0,0.0,21,771.0
2025-04-07,SKU0001,1190.0,0.0,21,771.0
2025-04-14,SKU0001,894.0,0.0,21,771.0
2025-04-21,SKU0001,616.0,0.0,21,771.0
2025-04-28,SKU0001,366.0,0.0,21,771.0
2025-05-05,SKU0001,103.0,0.0,21,771.0
2025-05-12,SKU0001,0.0,1161.0,21,771.0
2025-05-19,SKU0001,0.0,0.0,21,771.0
2025-05-26,SKU0001,0.0,0.0,21,771.0
2025-06-02,SKU0001,0.0,1224.0,21,771.0
2025-06-09,SKU0001,0.0,0.0,21,771.0
2025-06-16,SKU0001,975.0,975.0,21,771.0
2025-06-23,SKU0001,678.0,1175.0,21,771.0
2025-06-30,SKU0001,434.0,1130.0,21,771.0
2025-07-07,SKU0001,221.0,1186.0,21,771.0
2025-07-14,SKU0001,0.0,0.0,21,771.0
2025-07-21,SKU0001,977.0,977.0,21,771.0
2025-07-28,SKU0001,1923.0,1154.0,21,771.0
2025-08-04,SKU0001,1758.0,0.0,21,771.0
2025-08-11,SKU0001,1583.0,0.0,21,771.0
2025-08-18,SKU0001,1380.0,0.0,21,771.0
2025-08-25,SKU0001,1221.0,0.0,21,771.0
2025-09-01,SKU0001,1055.0,0.0,21,771.0
2025-09-08,SKU0001,896.0,0.0,21,771.0
2025-09-15,SKU0001,727.0,1322.0,21,771.0
2025-09-22,SKU0001,1946.0,1368.0,21,771.0
2025-09-29,SKU0001,1821.0,0.0,21,771.0
2025-10-06,SKU0001,1683.0,,21,771.0
2025-10-13,SKU0001,1543.0,0.0,21,771.0
2025-10-20,SKU0001,1404.0,0.0,21,771.0
2025-10-27,SKU0001,1215.0,0.0,21,771.0
2025-11-03,SKU0001,1016.0,0.0,21,771.0
2025-11-10,SKU0001,831.0,0.0,21,771.0
2025-11-17,SKU0001,670.0,0.0,21,771.0
2025-11-24,SKU0001,491.0,1219.0,21,771.0
2025-12-01,SKU0001,291.0,0.0,21,771.0
2025-12-08,SKU0001,87.0,1064.0,21,771.0
2025-12-15,SKU0001,0.0,1503.0,21,771.0
2025-12-22,SKU0001,0.0,0.0,21,771.0
2024-08-19,SKU0002,217.0,0.0,10,311.0
2024-08-26,SKU0002,94.0,494.0,10,311.0
2024-09-02,SKU0002,0.0,0.0,10,311.0
2024-09-09,SKU0002,0.0,0.0,10,311.0
2024-09-16,SKU0002,461.0,461.0,10,311.0
2024-09-23,SKU0002,350.0,0.0,10,311.0
2024-09-30,SKU0002,240.0,421.0,10,311.0
2024-10-07,SKU0002,142.0,0.0,10,311.0
2024-10-14,SKU0002,38.0,0.0,10,311.0
2024-10-21,SKU0002,0.0,0.0,10,311.0
2024-10-28,SKU0002,0.0,397.0,10,311.0
2024-11-04,SKU0002,0.0,,10,311.0
2024-11-11,SKU0002,0.0,373.0,10,311.0
2024-11-18,SKU0002,0.0,495.0,10,311.0
2024-11-25,SKU0002,0.0,444.0,10,311.0
2024-12-02,SKU0002,0.0,417.0,10,311.0
2024-12-09,SKU0002,0.0,0.0,10,311.0
2024-12-16,SKU0002,0.0,621.0,10,311.0
2024-12-23,SKU0002,556.0,556.0,10,311.0
