date,sku_id,units_sold,revenue,unit_price,promo_flag
2024-08-07,SKU0001,23.0,194866.12,8472.44,0
2024-08-08,SKU0001,24.0,203338.56,8472.44,0
2024-08-09,SKU0001,9.0,76251.96,8472.44,0
2024-08-10,SKU0001,15.0,127086.6,8472.44,0
2024-08-11,SKU0001,15.0,127086.6,8472.44,0
2024-08-12,SKU0001,24.0,203338.56,8472.44,0
2024-08-13,SKU0001,17.0,144031.48,8472.44,0
2024-08-14,SKU0001,31.0,262645.64,8472.44,0
2024-08-15,SKU0001,36.0,305007.84,8472.44,0
2024-08-16,SKU0001,15.0,127086.6,8472.44,0
2024-08-17,SKU0001,17.0,144031.48,8472.44,0
2024-08-18,SKU0001,20.0,169448.8,8472.44,0
2024-08-19,SKU0001,24.0,203338.56,8472.44,0
2024-08-20,SKU0001,13.0,110141.72,8472.44,0
2024-08-21,SKU0001,27.0,228755.88,8472.44,0
2024-08-22,SKU0001,28.0,237228.32,8472.44,0
2024-08-23,SKU0001,13.0,110141.72,8472.44,0
2024-08-24,SKU0001,19.0,160976.36,8472.44,0
2024-08-25,SKU0001,20.0,169448.8,8472.44,0
2024-08-26,SKU0001,,118614.16,8472.44,0
2024-08-27,SKU0001,27.0,228755.88,8472.44,0
2024-08-28,SKU0001,22.0,186393.68,8472.44,0
2024-08-29,SKU0001,13.0,110141.72,8472.44,0
2024-08-30,SKU0001,24.0,203338.56,8472.44,0
2024-08-31,SKU0001,16.0,135559.04,8472.44,0
2024-09-01,SKU0001,28.0,237228.32,8472.44,0
2024-09-02,SKU0001,7.0,59307.08,8472.44,0
2024-09-03,SKU0001,21.0,177921.24,8472.44,0
2024-09-04,SKU0001,18.0,152503.92,8472.44,0
2024-09-05,SKU0001,16.0,135559.04,8472.44,0
2024-09-06,SKU0001,23.0,194866.12,8472.44,0
2024-09-07,SKU0001,12.0,101669.28,8472.44,0
2024-09-08,SKU0001,26.0,220283.44,8472.44,0
2024-09-09,SKU0001,14.0,118614.16,8472.44,0
2024-09-10,SKU0001,17.0,144031.48,8472.44,0
2024-09-11,SKU0001,16.0,135559.04,8472.44,0
2024-09-12,SKU0001,19.0,160976.36,8472.44,0
2024-09-13,SKU0001,21.0,177921.24,8472.44,0
2024-09-14,SKU0001,12.0,101669.28,8472.44,0
2024-09-15,SKU0001,16.0,135559.04,8472.44,0
2024-09-16,SKU0001,10.0,84724.4,8472.44,0
2024-09-17,SKU0001,19.0,160976.36,8472.44,0
2024-09-18,SKU0001,25.0,211811.0,8472.44,0
2024-09-19,SKU0001,21.0,177921.24,8472.44,0
2024-09-20,SKU0001,17.0,144031.48,8472.44,0
2024-09-21,SKU0001,21.0,177921.24,8472.44,0
2024-09-22,SKU0001,18.0,152503.92,8472.44,0
2024-09-23,SKU0001,22.0,186393.68,8472.44,0
2024-09-24,SKU0001,10.0,84724.4,8472.44,0
2024-09-25,SKU0001,20.0,169448.8,8472.44,0
2024-09-26,SKU0001,23.0,194866.12,8472.44,0
2024-09-27,SKU0001,11.0,93196.84,8472.44,0
2024-09-28,SKU0001,10.0,84724.4,8472.44,0
2024-09-29,SKU0001,24.0,203338.56,8472.44,0
2024-09-30,SKU0001,26.0,220283.44,8472.44,0
2024-10-01,SKU0001,17.0,144031.48,8472.44,0
2024-10-02,SKU0001,18.0,152503.92,8472.44,0
2024-10-03,SKU0001,18.0,152503.92,8472.44,0
2024-10-04,SKU0001,15.0,127086.6,8472.44,0
2024-10-05,SKU0001,13.0,110141.72,8472.44,0
2024-10-06,SKU0001,16.0,135559.04,8472.44,0
2024-10-07,SKU0001,15.0,127086.6,8472.44,0
2024-10-08,SKU0001,19.0,160976.36,8472.44,0
2024-10-09,SKU0001,12.0,101669.28,8472.44,0
2024-10-10,SKU0001,19.0,160976.36,8472.44,0
2024-10-11,SKU0001,25.0,211811.0,8472.44,0
2024-10-12,SKU0001,13.0,110141.72,8472.44,0
2024-10-13,SKU0001,20.0,169448.8,8472.44,0
2024-10-14,SKU0001,16.0,135559.04,8472.44,0
2024-10-15,SKU0001,30.0,254173.2,8472.44,0
2024-10-16,SKU0001,8.0,67779.52,8472.44,0
2024-10-17,SKU0001,11.0,93196.84,8472.44,0
2024-10-18,SKU0001,15.0,127086.6,8472.44,0
2024-10-19,SKU0001,33.0,279590.52,8472.44,0
2024-10-20,SKU0001,37.0,241646.51,6530.99,1
2024-10-21,SKU0001,51.0,376429.91,7380.98,1
2024-10-22,SKU0001,25.0,180373.25,7214.93,1
2024-10-23,SKU0001,35.0,231067.99,6601.94,1
2024-10-24,SKU0001,36.0,258406.94,7177.97,1
2024-10-25,SKU0001,33.0,229970.68,6968.81,1
2024-10-26,SKU0001,34.0,235031.29,6912.69,1
2024-10-27,SKU0001,41.0,266369.76,6496.82,1
2024-10-28,SKU0001,29.0,203377.73,7013.03,1
2024-10-29,SKU0001,17.0,110182.61,6481.33,1
2024-10-30,SKU0001,23.0,194866.12,8472.44,0
2024-10-31,SKU0001,19.0,160976.36,8472.44,0
2024-11-01,SKU0001,15.0,127086.6,8472.44,0
2024-11-02,SKU0001,23.0,194866.12,8472.44,0
2024-11-03,SKU0001,18.0,152503.92,8472.44,0
2024-11-04,SKU0001,16.0,135559.04,8472.44,0
2024-11-05,SKU0001,18.0,152503.92,8472.44,0
2024-11-06,SKU0001,13.0,110141.72,8472.44,0
2024-11-07,SKU0001,10.0,84724.4,8472.44,0
2024-11-08,SKU0001,25.0,211811.0,8472.44,0
2024-11-09,SKU0001,19.0,160976.36,8472.44,0
2024-11-10,SKU0001,17.0,144031.48,8472.44,0
2024-11-11,SKU0001,7.0,59307.08,8472.44,0
2024-11-12,SKU0001,17.0,144031.48,8472.44,0
2024-11-13,SKU0001,20.0,169448.8,8472.44,0
2024-11-14,SKU0001,36.0,305007.84,8472.44,0
2024-11-15,SKU0001,31.0,262645.64,8472.44,0
2024-11-16,SKU0001,21.0,177921.24,8472.44,0
