sku_id,category,subcategory,launch_date,unit_cost,list_price
SKU0001,Small Appliances,Climate,2024-08-07,3476.81,8472.44
SKU0002,Furniture,Storage,2024-08-13,1671.95,4534.53
SKU0003,Decor,Rugs,2024-04-23,2351.96,3943.25
SKU0004,Small Appliances,Cleaning,2024-06-26,3891.58,10397.31
SKU0005,Decor,Rugs,2024-01-22,870.87,2107.21
SKU0006,Decor,Lighting,2024-04-04,780.71,1694.8
SKU0007,Decor,Wall Art,2025-02-20,,5709.22
SKU0008,Furniture,Storage,2024-05-24,2825.23,4994.17
SKU0009,Small Appliances,Cleaning,2024-11-28,2909.11,7380.05
SKU0010,Furniture,Seating,2024-02-27,2773.09,6004.61
SKU0011,Decor,Rugs,2024-10-03,2369.07,4654.61
SKU0012,Furniture,Seating,2024-07-23,3457.59,6502.78
SKU0013,Furniture,Tables,2024-11-26,2361.02,5998.59
SKU0014,Small Appliances,Kitchen,2024-03-24,384.03,655.95
SKU0015,Furniture,Storage,2024-09-07,863.55,2103.25
SKU0016,Furniture,Storage,2024-11-11,1638.71,2794.3
SKU0017,Small Appliances,Climate,2024-12-15,1283.72,3546.93
SKU0018,Decor,Lighting,2024-05-16,656.65,1761.87
SKU0019,Furniture,Storage,2024-10-16,954.06,2507.21
SKU0020,Decor,Wall Art,2024-11-09,2461.16,5857.11
SKU0021,Furniture,Seating,2024-09-03,1520.49,2696.48
SKU0022,Furniture,Seating,2025-04-07,2449.93,4939.66
SKU0023,Small Appliances,Climate,2024-08-29,3196.12,5431.09
SKU0024,Small Appliances,Kitchen,2024-10-12,2051.91,3940.43
SKU0025,Decor,Wall Art,2024-01-11,3357.28,8982.04
SKU0026,Furniture,Tables,2024-12-02,1340.57,3205.71
SKU0027,Furniture,Tables,2025-04-03,1151.79,1894.57
SKU0028,Small Appliances,Climate,2025-02-08,1473.41,4042.27
SKU0029,Furniture,Storage,2025-04-13,909.05,1503.47
SKU0030,Small Appliances,Kitchen,2025-03-22,2219.78,4393.2
SKU0031,Furniture,Storage,2024-02-17,3063.12,5865.73
SKU0032,Furniture,Seating,2025-02-19,867.15,1573.98
SKU0033,Furniture,Seating,2024-06-04,3176.4,8786.53
SKU0034,FURNITURE,Seating,2024-04-24,787.74,1900.97
SKU0035,Decor,Lighting,2024-10-17,1039.17,2665.42
SKU0036,FURNITURE,Tables,2024-03-02,3731.98,7751.67
SKU0037,Decor,Wall Art,2025-04-22,1359.85,3684.88
SKU0038,Decor,Lighting,2024-02-22,819.26,1722.85
SKU0039,Small Appliances,Cleaning,2025-02-06,2029.31,5157.93
SKU0040,small appliances,Kitchen,2025-02-02,1160.77,2596.55
SKU0041,decor,Wall Art,2024-07-25,1684.48,3556.04
SKU0042,decor,Rugs,2024-05-03,1175.65,2933.5
SKU0043,Furniture,Tables,2024-10-24,840.84,2177.44
SKU0044,Small Appliances,Climate,2024-03-23,1353.46,2415.03
SKU0045,furniture,Seating,2024-03-28,497.51,1148.94
SKU0046,Furniture,Storage,2024-09-09,3537.52,9273.11
SKU0047,Furniture,Seating,2024-05-04,2413.56,5067.31
SKU0048,Decor,Lighting,2024-02-20,3383.8,5625.07
SKU0049,small appliances,Cleaning,2025-03-27,3924.41,10056.03
SKU0050,Small Appliances,Cleaning,2024-03-08,2283.45,5062.56
SKU0051,FURNITURE,Storage,2024-11-15,1285.91,2273.13
SKU0052,Furniture,Tables,2024-07-02,1655.65,3299.7
SKU0053,Furniture,Storage,2025-04-19,3690.49,8034.54
SKU0054,Small Appliances,Climate,2024-11-22,3276.25,7336.4
SKU0055,Decor,Wall Art,2024-04-11,,7558.29
SKU0056,Furniture,Tables,2024-12-28,612.62,1668.24
SKU0057,Small Appliances,Climate,2024-10-23,3195.71,8162.28
SKU0058,Decor,Wall Art,2024-02-17,2579.81,4657.97
SKU0059,Decor,Lighting,2024-09-18,3126.52,8001.06
SKU0060,Small Appliances,Cleaning,2024-02-29,733.28,1250.43
SKU0037,Decor,Wall Art,2025-04-22,1359.85,3684.88
SKU0001,Small Appliances,Climate,2024-08-07,3476.81,8472.44
SKU0048,Decor,Lighting,2024-02-20,3383.8,5625.07
