sku_id,week_start,category,subcategory,units_sold,revenue,avg_price,promo_days,holiday_days,on_hand_units,on_order_units,lead_time_days,reorder_point,unit_cost,list_price
SKU0001,2024-08-05,Small Appliances,Climate,86,728629.8400000001,8472.44,0,0,,,,,3476.81,8472.44
SKU0001,2024-08-12,Small Appliances,Climate,160,1355590.4,8472.44,0,1,2122.0,1481.0,21.0,771.0,3476.81,8472.44
SKU0001,2024-08-19,Small Appliances,Climate,144,1220031.36,8472.44,0,0,1983.0,0.0,21.0,771.0,3476.81,8472.44
SKU0001,2024-08-26,Small Appliances,Climate,157,1330173.08,8472.44,0,0,1855.0,0.0,21.0,771.0,3476.81,8472.44
SKU0001,2024-09-02,Small Appliances,Climate,123,1042110.12,8472.44,0,0,1727.0,0.0,21.0,771.0,3476.81,8472.44
SKU0001,2024-09-09,Small Appliances,Climate,115,974330.6,8472.44,0,0,1604.0,0.0,21.0,771.0,3476.81,8472.44
SKU0001,2024-09-16,Small Appliances,Climate,131,1109889.64,8472.44,0,0,1495.0,0.0,21.0,771.0,3476.81,8472.44
SKU0001,2024-09-23,Small Appliances,Climate,120,1016692.8,8472.44,0,0,1379.0,0.0,21.0,771.0,3476.81,8472.44
SKU0001,2024-09-30,Small Appliances,Climate,123,1042110.12,8472.44,0,1,1252.0,0.0,21.0,771.0,3476.81,8472.44
SKU0001,2024-10-07,Small Appliances,Climate,123,1042110.12,8472.44,0,0,1144.0,0.0,21.0,771.0,3476.81,8472.44
SKU0001,2024-10-14,Small Appliances,Climate,150,1199032.35,8195.09,1,0,1037.0,0.0,21.0,771.0,3476.81,8472.44
SKU0001,2024-10-21,Small Appliances,Climate,255,1777649.86,6964.877142857143,7,0,915.0,0.0,21.0,771.0,3476.81,8472.44
SKU0001,2024-10-28,Small Appliances,Climate,144,1143859.6,7979.5085714285715,2,0,770.0,1493.0,21.0,771.0,3476.81,8472.44
SKU0001,2024-11-04,Small Appliances,Climate,118,999747.92,8472.44,0,0,625.0,1180.0,21.0,771.0,3476.81,8472.44
SKU0001,2024-11-11,Small Appliances,Climate,159,1347117.9600000002,8472.44,0,1,455.0,0.0,21.0,771.0,3476.81,8472.44
SKU0001,2024-11-18,Small Appliances,Climate,175,1482677.0,8472.44,0,0,271.0,0.0,21.0,771.0,3476.81,8472.44
SKU0001,2024-11-25,Small Appliances,Climate,242,1675420.9,7000.245714285715,6,0,125.0,1108.0,21.0,771.0,3476.81,8472.44
SKU0001,2024-12-02,Small Appliances,Climate,141,1194614.04,8472.44,0,0,0.0,0.0,21.0,771.0,3476.81,8472.44
SKU0001,2024-12-09,Small Appliances,Climate,159,1347117.96,8472.44,0,0,0.0,1137.0,21.0,771.0,3476.81,8472.44
SKU0001,2024-12-16,Small Appliances,Climate,185,1567401.4,8472.44,0,0,0.0,0.0,21.0,771.0,3476.81,8472.44
SKU0001,2024-12-23,Small Appliances,Climate,176,1491149.4400000002,8472.44,0,1,0.0,951.0,21.0,771.0,3476.81,8472.44
SKU0001,2024-12-30,Small Appliances,Climate,206,1745322.64,8472.44,0,1,0.0,0.0,21.0,771.0,3476.81,8472.44
SKU0001,2025-01-06,Small Appliances,Climate,217,1838519.48,8472.44,0,0,0.0,0.0,21.0,771.0,3476.81,8472.44
SKU0001,2025-01-13,Small Appliances,Climate,312,2290162.81,7405.3,5,0,0.0,1017.0,21.0,771.0,3476.81,8472.44
